Designator,Mid X,Mid Y,Rotation,Layer
C1,95.885,-82.1425,270.0,top
C2,123.825,-100.965,0.0,top
C3,100.33,-81.485,270.0,top
C4,119.38,-80.215,90.0,top
C5,122.415,-96.52,0.0,top
C6,123.685,-104.14,0.0,top
D1,127.14875,-114.935,0.0,top
D2,121.4125,-114.935,0.0,top
D3,115.67625,-114.935,0.0,top
D4,109.94,-114.935,0.0,top
D5,104.20375,-114.935,0.0,top
D6,98.4675,-114.935,0.0,top
D7,92.73125,-114.935,0.0,top
D8,86.995,-114.935,0.0,top
J1,110.49,-70.425,90.0,top
J3,68.58,-92.71,180.0,top
J4,92.59,-67.205,180.0,top
MUBUS26,77.47,-99.06,0.0,top
R1,94.615,-103.315,270.0,top
R10,101.6,-104.585,90.0,top
R11,100.14,-108.585,0.0,top
R12,81.534,-72.898,270.0,top
R2,127.253,-119.38,0.0,top
R3,121.602,-119.38,0.0,top
R4,115.76,-119.38,0.0,top
R5,110.172,-119.38,0.0,top
R6,104.33,-119.38,0.0,top
R7,98.488,-119.38,0.0,top
R8,92.9,-119.38,0.0,top
R9,87.375,-119.38,0.0,top
S1,118.87,-126.42,0.0,top
S2,106.93,-126.42,0.0,top
S3,94.99,-126.42,0.0,top
U1,88.835,-85.725,270.0,top
U2,111.76,-101.6,0.0,top
U3,88.5775,-107.715,90.0,top
U4,88.5775,-98.19,90.0,top
U5,108.61,-81.28,180.0,top
