FLO.ST — Table des vecteurs système Smaky 6
============================================================
343 entrées de 8 octets

  N°     Adr  Nom       Octets raw
------------------------------------------------------------
   0  0x0100  YY        01 00 20 A0 A0 20 D9 59
   1  0x0001  XX        00 01 20 A0 A0 20 D8 58
   2  0x0001  WRPROT    00 01 54 CF D2 50 D2 57
   3  0x1009  TSTDRI    10 09 49 D2 C4 54 D3 54
   4  0x0005  TPOINT    00 05 54 CE C9 4F D0 54
   5  0x0001  TMINCE    00 01 45 C3 CE 49 CD 54
   6  0x0002  TGROS     00 02 20 D3 CF 52 C7 54
   7  0x0609  TESTP     06 09 20 D0 D4 53 C5 54
   8  0x00E7  TEM       00 E7 20 A0 A0 4D C5 54
   9  0x455A  TABEX     45 5A 20 D8 C5 42 C1 54
  10  0x0009  TAB       00 09 20 A0 A0 42 C1 54
  11  0x0100  SYS       01 00 20 A0 A0 53 D9 53
  12  0x1000  STOPFL    10 00 4C C6 D0 4F D4 53
  13  0x1000  STOP      10 00 20 A0 D0 4F D4 53
  14  0x000B  STAB      00 0B 20 A0 C2 41 D4 53
  15  0x4528  SPUTIL    45 28 4C C9 D4 55 D0 53
  16  0x0003  SPAR      00 03 20 A0 D2 41 D0 53
  17  0x0020  SPACE     00 20 20 C5 C3 41 D0 53
  18  0x00A6  SOL       00 A6 20 A0 A0 4C CF 53
  19  0x45B7  SNBLIN    45 B7 4E C9 CC 42 CE 53
  20  0x00FF  SILENC    00 FF 43 CE C5 4C C9 53
  21  0x00FF  SIL       00 FF 20 A0 A0 4C C9 53
  22  0x0087  SI        00 87 20 A0 A0 20 C9 53
  23  0x0004  SHOW      00 04 20 A0 D7 4F C8 53
  24  0x4600  SGRA      46 00 20 A0 C1 52 C7 53
  25  0x0600  SETP      06 00 20 A0 D0 54 C5 53
  26  0x0006  SESC      00 06 20 A0 C3 53 C5 53
  27  0x0005  SEND      00 05 20 A0 C4 4E C5 53
  28  0x0612  SEGRE     06 12 20 C5 D2 47 C5 53
  29  0x060F  SEGA      06 0F 20 A0 C1 47 C5 53
  30  0x0002  SEARCH    00 02 48 C3 D2 41 C5 53
  31  0x000C  SCR       00 0C 20 A0 A0 52 C3 53
  32  0x007F  SBS       00 7F 20 A0 A0 53 C2 53
  33  0x4556  SAVT      45 56 20 A0 D4 56 C1 53
  34  0x454E  SAVS      45 4E 20 A0 D3 56 C1 53
  35  0x4546  SAVLGO    45 46 4F C7 CC 56 C1 53
  36  0x0008  SAUT      00 08 20 A0 D4 55 C1 53
  37  0x4000  SALPHA    40 00 41 C8 D0 4C C1 53
  38  0x1015  RTN       10 15 20 A0 A0 4E D4 52
  39  0x1003  RODWIB    10 03 42 C9 D7 44 CF 52
  40  0x1006  RIBWOD    10 06 44 CF D7 42 C9 52
  41  0x0809  RESYS     08 09 20 D3 D9 53 C5 52
  42  0x006F  RE1       00 6F 20 A0 A0 31 C5 52
  43  0x00DC  RE        00 DC 20 A0 A0 20 C5 52
  44  0x0001  RDYP      00 01 20 A0 D0 59 C4 52
  45  0x0002  RDPROT    00 02 54 CF D2 50 C4 52
  46  0x0003  PSERRE    00 03 45 D2 D2 45 D3 50
  47  0x0008  PROGRA    00 08 41 D2 C7 4F D2 50
  48  0x0004  PLARGE    00 04 45 C7 D2 41 CC 50
  49  0x0002  PAR       00 02 20 A0 A0 52 C1 50
  50  0x4550  OUTCAR    45 50 52 C1 C3 54 D5 4F
  51  0x000C  OSIZE     00 0C 20 C5 DA 49 D3 4F
  52  0x0005  ONBYTE    00 05 45 D4 D9 42 CE 4F
  53  0x0003  ONBLK     00 03 20 CB CC 42 CE 4F
  54  0x0000  ONAME     00 00 20 C5 CD 41 CE 4F
  55  0x0008  OEXT      00 08 20 A0 D4 58 C5 4F
